filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
postgres.json,/api/2.0/postgres/{parent}/branches,postgres_create_branch,post,,postgres,"parent, branch_id, branch",Creates a new database branch in the project.,"Creates a new database branch in the project.  :param parent: str   The Project where this Branch will be created. Format: projects/{project_id} :param branch: :class:`Branch`   The Branch to create. :param branch_id: str   The ID to use for the Branch. This becomes the final component of the branch's resource name. The ID   is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `development` becomes   `projects/my-app/branches/development`.  :returns: :class:`Operation`",postgres_branches,create,insert,
postgres.json,/api/2.0/postgres/{parent}/branches,postgres_list_branches,get,ListBranchesResponse,postgres,"parent, page_size, page_token",Returns a paginated list of database branches in the project.,"Returns a paginated list of database branches in the project.  :param parent: str   The Project that owns this collection of branches. Format: projects/{project_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Branch`",postgres_branches,list,select,$.branches
postgres.json,/api/2.0/postgres/{parent}/endpoints,postgres_create_endpoint,post,,postgres,"parent, endpoint_id, endpoint",Creates a new compute endpoint in the branch.,"Creates a new compute endpoint in the branch.  :param parent: str   The Branch where this Endpoint will be created. Format: projects/{project_id}/branches/{branch_id} :param endpoint: :class:`Endpoint`   The Endpoint to create. :param endpoint_id: str   The ID to use for the Endpoint. This becomes the final component of the endpoint's resource name.   The ID is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `primary` becomes   `projects/my-app/branches/development/endpoints/primary`.  :returns: :class:`Operation`",postgres_endpoints,create,insert,
postgres.json,/api/2.0/postgres/{parent}/endpoints,postgres_list_endpoints,get,ListEndpointsResponse,postgres,"parent, page_size, page_token",Returns a paginated list of compute endpoints in the branch.,"Returns a paginated list of compute endpoints in the branch.  :param parent: str   The Branch that owns this collection of endpoints. Format:   projects/{project_id}/branches/{branch_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Endpoint`",postgres_endpoints,list,select,$.endpoints
postgres.json,/api/2.0/postgres/projects,postgres_create_project,post,,postgres,"project_id, project","Creates a new Lakebase Autoscaling Postgres database project, which contains branches and compute","Creates a new Lakebase Autoscaling Postgres database project, which contains branches and compute endpoints.  :param project: :class:`Project`   The Project to create. :param project_id: str   The ID to use for the Project. This becomes the final component of the project's resource name. The   ID is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `my-app` becomes `projects/my-app`.  :returns: :class:`Operation`",postgres_projects,create,insert,
postgres.json,/api/2.0/postgres/projects,postgres_list_projects,get,ListProjectsResponse,postgres,"page_size, page_token",Returns a paginated list of database projects in the workspace that the user has permission to access.,"Returns a paginated list of database projects in the workspace that the user has permission to access.  :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Project`",postgres_projects,list,select,$.projects
postgres.json,/api/2.0/postgres/{parent}/roles,postgres_create_role,post,,postgres,"parent, role_id, role",Creates a new Postgres role in the branch.,"Creates a new Postgres role in the branch.  :param parent: str   The Branch where this Role is created. Format: projects/{project_id}/branches/{branch_id} :param role: :class:`Role`   The desired specification of a Role. :param role_id: str (optional)   The ID to use for the Role, which will become the final component of the role's resource name. This   ID becomes the role in Postgres.    This value should be 4-63 characters, and valid characters are lowercase letters, numbers, and   hyphens, as defined by RFC 1123.    If role_id is not specified in the request, it is generated automatically.  :returns: :class:`Operation`",postgres_roles,create,insert,
postgres.json,/api/2.0/postgres/{parent}/roles,postgres_list_roles,get,ListRolesResponse,postgres,"parent, page_size, page_token",Returns a paginated list of Postgres roles in the branch.,"Returns a paginated list of Postgres roles in the branch.  :param parent: str   The Branch that owns this collection of roles. Format: projects/{project_id}/branches/{branch_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Role`",postgres_roles,list,select,$.roles
postgres.json,/api/2.0/postgres/{name},postgres_delete_role,delete,,postgres,"name, reassign_owned_to",Deletes the specified Postgres role.,"Deletes the specified Postgres role.  :param name: str   The full resource path of the role to delete. Format:   projects/{project_id}/branches/{branch_id}/roles/{role_id} :param reassign_owned_to: str (optional)   Reassign objects. If this is set, all objects owned by the role are reassigned to the role specified   in this parameter.    NOTE: setting this requires spinning up a compute to succeed, since it involves running SQL queries.    TODO: #LKB-7187 implement reassign_owned_to on LBM side. This might end-up being a synchronous query   when this parameter is used.  :returns: :class:`Operation`",postgres_roles,delete,delete,
postgres.json,/api/2.0/postgres/{name},postgres_get_role,get,Role,postgres,name,"Retrieves information about the specified Postgres role, including its authentication method and","Retrieves information about the specified Postgres role, including its authentication method and permissions.  :param name: str   The full resource path of the role to retrieve. Format:   projects/{project_id}/branches/{branch_id}/roles/{role_id}  :returns: :class:`Role`",postgres_roles,get,select,
postgres.json,/api/2.0/postgres/{name},postgres_update_project,patch,,postgres,"name, update_mask, project",Updates the specified database project.,"Updates the specified database project.  :param name: str   Output only. The full resource path of the project. Format: projects/{project_id} :param project: :class:`Project`   The Project to update.    The project's `name` field is used to identify the project to update. Format: projects/{project_id} :param update_mask: FieldMask   The list of fields to update. If unspecified, all fields will be updated when possible.  :returns: :class:`Operation`",postgres_projects,update,update,
postgres.json,/api/2.0/postgres/credentials,postgres_generate_database_credential,post,DatabaseCredential,postgres,"endpoint, claims",Generate OAuth credentials for a Postgres database.,Generate OAuth credentials for a Postgres database.  :param endpoint: str   This field is not yet supported. The endpoint for which this credential will be generated. Format:   projects/{project_id}/branches/{branch_id}/endpoints/{endpoint_id} :param claims: List[:class:`RequestedClaims`] (optional)   The returned token will be scoped to UC tables with the specified permissions.  :returns: :class:`DatabaseCredential`,postgres_credentials,generate,exec,
postgres.json,/api/2.0/postgres/{parent}/databases,postgres_create_database,post,,postgres,"parent, database_id, database",Create a Database.,"Create a Database.  Creates a database in the specified branch. A branch can have multiple databases.  :param parent: str   The Branch where this Database will be created. Format: projects/{project_id}/branches/{branch_id} :param database: :class:`Database`   The desired specification of a Database. :param database_id: str (optional)   The ID to use for the Database, which will become the final component of the database's resource   name. This ID becomes the database name in postgres.    This value should be 4-63 characters, and only use characters available in DNS names, as defined by   RFC-1123    If database_id is not specified in the request, it is generated automatically.  :returns: :class:`Operation`",postgres_databases,create,insert,
postgres.json,/api/2.0/postgres/{parent}/databases,postgres_list_databases,get,ListDatabasesResponse,postgres,"parent, page_size, page_token",List Databases.,List Databases.  :param parent: str   The Branch that owns this collection of databases. Format:   projects/{project_id}/branches/{branch_id} :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of Databases. Requests first page if absent.  :returns: Iterator over :class:`Database`,postgres_databases,list,select,$.databases
postgres.json,/api/2.0/postgres/catalogs,postgres_create_catalog,post,,postgres,"catalog_id, catalog",Register a Postgres database in the Unity Catalog.,"Register a Postgres database in the Unity Catalog.  :param catalog: :class:`Catalog` :param catalog_id: str   The ID in the Unity Catalog. It becomes the full resource name, for example ""my_catalog"" becomes   ""catalogs/my_catalog"".  :returns: :class:`Operation`",postgres_catalogs,create,insert,
